Exp_name, sols, solver_calls, total_blocking_clauses_in calls, best_case_nonincomp
hu_disc_mining__tumor_40_minion_73650,1,14,3,1
hu_disc_mining__tumor_10_nbc_11664,1006,15,5537,506521
relevant_subgroups__zoo_10_nbc_73674,3957,16,23965,7830903
relevant_subgroups__tumor_50_minion_1238,2,13,7,3
relevant_subgroups__zoo_20_nbc_95370,814,16,4806,331705
relevant_subgroups__german_10_minion_39678,94,38,1145,4465
relevant_subgroups__tumor_50_nbc_67576,2,13,7,3
hu_disc_mining__vote_10_minion_92701,723,16,2595,261726
relevant_subgroups__zoo_10_minion_7206,3957,16,23965,7830903
relevant_subgroups__german_40_minion_20074,4,27,14,10
relevant_subgroups__hepatit_40_nbc_9743,112,31,515,6328
relevant_subgroups__audio_30_minion_33295,9,65,461,45
relevant_subgroups__lymph_20_nbc_56428,1783,27,17006,1590436
relevant_subgroups__tumor_30_minion_97532,348,15,1483,60726
relevant_subgroups__audio_30_minion_33292,9,65,461,45
relevant_subgroups__vote_30_nbc_35185,3,16,8,6
hu_disc_mining__tumor_20_minion_73478,538,15,2352,144991
relevant_subgroups__hepatit_30_minion_43405,1,34,9,1
hu_disc_mining__zoo_10_nbc_88214,4955,16,31883,12278490
relevant_subgroups__heart_20_nbc_26915,148,45,1772,11026
relevant_subgroups__vote_20_minion_40141,628,16,1920,197506
relevant_subgroups__zoo_20_minion_70615,814,16,4806,331705
hu_disc_mining__audio_10_nbc_7178,130,67,7331,8515
relevant_subgroups__tumor_40_minion_88145,39,14,147,780
hu_disc_mining__audio_20_nbc_77829,9,67,478,45
hu_disc_mining__vote_10_minion_35701,723,16,2595,261726
relevant_subgroups__lymph_20_minion_44704,1783,27,17006,1590436
hu_disc_mining__anneal_30_nbc_44337,1,42,24,1
relevant_subgroups__hepatit_30_minion_77230,1,34,9,1
relevant_subgroups__hepatit_20_nbc_63801,1,34,13,1
relevant_subgroups__hepatit_20_minion_37359,1,34,13,1
hu_disc_mining__tumor_30_nbc_55111,19,15,69,190
relevant_subgroups__lymph_40_nbc_67940,364,18,2450,66430
hu_disc_mining__lymph_10_minion_42338,115,27,1490,6670
relevant_subgroups__vote_30_minion_68556,3,16,8,6
relevant_subgroups__zoo_40_nbc_88692,3,15,10,6
relevant_subgroups__aus_50_minion_39895,10,30,46,55
relevant_subgroups__aus_50_minion_85375,10,30,46,55
relevant_subgroups__lymph_40_minion_27566,364,18,2450,66430
relevant_subgroups__heart_40_nbc_54761,22,40,118,253
hu_disc_mining__tumor_10_minion_11012,1006,15,5537,506521
relevant_subgroups__aus_40_minion_34332,12,46,88,78
hu_disc_mining__tumor_40_nbc_45544,1,14,3,1
relevant_subgroups__vote_20_minion_63604,628,16,1920,197506
relevant_subgroups__tumor_10_minion_25613,2173,15,12190,2362051
relevant_subgroups__anneal_50_minion_87259,124,33,2140,7750
relevant_subgroups__vote_20_minion_65634,628,16,1920,197506
relevant_subgroups__audio_10_nbc_15032,665,67,38158,221445
relevant_subgroups__lymph_50_minion_10576,230,15,1105,26565
hu_disc_mining__lymph_40_minion_46152,11,17,53,66
relevant_subgroups__lymph_40_minion_56194,364,18,2450,66430
relevant_subgroups__audio_30_minion_43246,9,65,461,45
relevant_subgroups__aus_30_minion_63578,14,51,157,105
relevant_subgroups__vote_30_minion_51713,3,16,8,6
relevant_subgroups__aus_40_nbc_57962,12,46,88,78
relevant_subgroups__anneal_30_nbc_82645,290,42,6185,42195
relevant_subgroups__heart_30_minion_58539,83,45,647,3486
relevant_subgroups__audio_30_nbc_92092,9,65,461,45
relevant_subgroups__zoo_30_minion_72233,62,16,282,1953
relevant_subgroups__lymph_20_minion_54765,1783,27,17006,1590436
relevant_subgroups__german_30_minion_34911,179,35,976,16110
relevant_subgroups__hepatit_20_nbc_82234,1,34,13,1
relevant_subgroups__audio_50_nbc_72153,522,60,21547,136503
relevant_subgroups__zoo_20_nbc_21209,814,16,4806,331705
hu_disc_mining__lymph_30_minion_85397,141,27,869,10011
hu_disc_mining__tumor_30_nbc_79006,19,15,69,190
hu_disc_mining__lymph_10_nbc_63424,115,27,1490,6670
relevant_subgroups__aus_30_minion_30375,14,51,157,105
hu_disc_mining__zoo_10_nbc_42150,4955,16,31883,12278490
relevant_subgroups__lymph_10_minion_96187,636,27,8374,202566
relevant_subgroups__anneal_50_nbc_65497,124,33,2140,7750
hu_disc_mining__lymph_20_nbc_53224,331,27,2882,54946
hu_disc_mining__tumor_40_nbc_24325,1,14,3,1
relevant_subgroups__zoo_30_nbc_55204,62,16,282,1953
hu_disc_mining__tumor_20_minion_27164,538,15,2352,144991
relevant_subgroups__heart_30_minion_75234,83,45,647,3486
relevant_subgroups__tumor_30_nbc_36330,348,15,1483,60726
hu_disc_mining__audio_20_minion_25873,9,67,478,45
hu_disc_mining__heart_10_nbc_11287,131,45,2210,8646
hu_disc_mining__audio_20_minion_93144,9,67,478,45
relevant_subgroups__audio_40_nbc_88697,1857,65,84436,1725153
relevant_subgroups__heart_30_minion_69062,83,45,647,3486
relevant_subgroups__anneal_30_nbc_67833,290,42,6185,42195
relevant_subgroups__heart_40_nbc_23753,22,40,118,253
hu_disc_mining__vote_20_minion_14328,5,16,10,15
relevant_subgroups__audio_40_nbc_12458,1857,65,84436,1725153
relevant_subgroups__hepatit_40_minion_76605,112,31,515,6328
relevant_subgroups__zoo_10_minion_35330,3957,16,23965,7830903
relevant_subgroups__hepatit_10_nbc_11966,220,34,3940,24310
relevant_subgroups__heart_40_minion_21429,22,40,118,253
hu_disc_mining__zoo_30_nbc_62887,5,15,17,15
relevant_subgroups__zoo_40_minion_1828,3,15,10,6
relevant_subgroups__aus_40_nbc_8753,12,46,88,78
relevant_subgroups__lymph_20_nbc_24400,1783,27,17006,1590436
relevant_subgroups__heart_10_minion_77883,145,45,2637,10585
hu_disc_mining__vote_20_nbc_88250,5,16,10,15
relevant_subgroups__aus_20_nbc_73507,2,51,33,3
relevant_subgroups__zoo_20_minion_76139,814,16,4806,331705
hu_disc_mining__zoo_20_minion_72553,248,16,1444,30876
relevant_subgroups__audio_20_minion_18451,147,67,8043,10878
relevant_subgroups__lymph_50_minion_83844,230,15,1105,26565
relevant_subgroups__heart_10_nbc_76878,150,45,2717,11325
relevant_subgroups__hepatit_10_nbc_27958,220,34,3940,24310
hu_disc_mining__tumor_30_minion_46934,19,15,69,190
relevant_subgroups__zoo_30_nbc_72020,62,16,282,1953
relevant_subgroups__german_30_minion_81241,179,35,976,16110
hu_disc_mining__zoo_10_minion_93554,4955,16,31883,12278490
hu_disc_mining__vote_20_minion_9877,5,16,10,15
relevant_subgroups__tumor_40_minion_65103,39,14,147,780
hu_disc_mining__vote_10_nbc_25967,723,16,2595,261726
relevant_subgroups__zoo_30_minion_38362,62,16,282,1953
relevant_subgroups__vote_10_minion_36787,2523,16,9778,3184026
hu_disc_mining__zoo_30_minion_5558,5,15,17,15
hu_disc_mining__lymph_10_nbc_97490,115,27,1490,6670
hu_disc_mining__tumor_20_nbc_89655,538,15,2352,144991
relevant_subgroups__hepatit_50_minion_10211,217,23,431,23653
relevant_subgroups__aus_20_nbc_88576,2,51,33,3
relevant_subgroups__anneal_50_minion_71240,124,33,2140,7750
relevant_subgroups__tumor_20_minion_70472,2186,15,10398,2390391
relevant_subgroups__hepatit_50_minion_87063,217,23,431,23653
relevant_subgroups__hepatit_30_nbc_27156,1,34,9,1
relevant_subgroups__tumor_30_minion_38528,348,15,1483,60726
hu_disc_mining__anneal_20_nbc_83692,19,42,450,190
hu_disc_mining__lymph_40_minion_95141,11,17,53,66
relevant_subgroups__lymph_50_nbc_55625,230,15,1105,26565
relevant_subgroups__anneal_50_nbc_28815,124,33,2140,7750
hu_disc_mining__lymph_20_minion_27372,331,27,2882,54946
relevant_subgroups__lymph_30_nbc_90109,1147,27,8154,658378
relevant_subgroups__heart_20_minion_49706,148,45,1772,11026
hu_disc_mining__lymph_40_nbc_31834,11,17,53,66
hu_disc_mining__tumor_40_minion_52213,1,14,3,1
relevant_subgroups__anneal_40_nbc_7624,230,40,4401,26565
hu_disc_mining__anneal_40_nbc_76930,15,39,267,120
hu_disc_mining__zoo_30_nbc_94100,5,15,17,15
hu_disc_mining__aus_10_nbc_77640,2179,51,40710,2375110
relevant_subgroups__tumor_10_minion_96190,2173,15,12190,2362051
relevant_subgroups__aus_50_nbc_31989,10,30,46,55
hu_disc_mining__lymph_40_nbc_9206,11,17,53,66
hu_disc_mining__tumor_20_nbc_3115,538,15,2352,144991
relevant_subgroups__german_40_minion_28132,4,27,14,10
relevant_subgroups__tumor_20_minion_73576,2186,15,10398,2390391
relevant_subgroups__audio_20_minion_76904,147,67,8043,10878
relevant_subgroups__audio_20_nbc_64688,147,67,8043,10878
relevant_subgroups__aus_50_nbc_70514,10,30,46,55
relevant_subgroups__tumor_10_minion_70584,2173,15,12190,2362051
relevant_subgroups__hepatit_40_minion_91890,112,31,515,6328
relevant_subgroups__zoo_40_minion_19140,3,15,10,6
relevant_subgroups__hepatit_40_minion_25193,112,31,515,6328
relevant_subgroups__zoo_20_minion_26723,814,16,4806,331705
hu_disc_mining__anneal_20_nbc_37340,19,42,450,190
hu_disc_mining__hepatit_10_nbc_55753,21,34,365,231
relevant_subgroups__tumor_40_nbc_38766,39,14,147,780
hu_disc_mining__german_10_nbc_82660,3,38,30,6
