Exp_name, solver, sols, solver_time_mean, total_time_mean, block,  block(2nd calc) , avg_block, solver_calls, solver_err, sr_err, how_many?, solver_v_best, total_v_best, block_total_v, file_size, nodes, satv, satc
hu_closed_anneal_10,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_10,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,335790.0,nan,nan,nan,nan
hu_closed_anneal_10,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_10,minion D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_closed_anneal_10,minion_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_10,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_10,minion_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_10,nbc D+I,15751,1254.703846153846,1410.4794441369863,417740.3076923077,112413.23076923077,9946.197802197803,42.0,102.29137753808509,107.47802935601064,13,160.23,270.45917081832886,12.0,7859138.076923077,1327722.2857142857,7378.0,669155.0
hu_closed_anneal_10,nbc_compressed D+I,15751,1443.61125,1866.2670231163502,452551.0,121780.0,10775.02380952381,42.0,46.85803126913935,55.176856783715316,8,1214.0900000000001,1669.3762156963348,452551.0,15130127.25,1416379.75,13144.75,686774.75
hu_closed_anneal_20,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_20,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_20,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_closed_anneal_20,minion D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_closed_anneal_20,minion_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
